,City,Names,Bed,Bath,Area,Rating,location,petsallowed,pool,fitnessCenter,gated,grill,closet,washerdryer,countertops,access,Rent
50,denton,Iconic Village,1 - 3 ,1 - 2.5 ,390 - 784 ,?,"2411 W Hickory St,
                Denton,
                
TX
76201",1,1,1,0,0,0,0,0,0,"660 - 1,085"
51,denton,Pecan Creek on McKinney Apartments,2 - 4 ,2 ,"950 - 1,300 ",4.0,"3500 E McKinney Denton St,
                Denton,
                
TX
76209",1,1,0,0,0,1,1,0,0,"1,159 - 1,477"
52,denton,Forum at Denton Station,1 - 4 ,1 - 4 ,"667 - 1,451 ",5.0,"201 Inman St,
                Denton,
                
TX
76205",1,1,1,0,1,0,1,0,1,"599 - 1,195"
53,denton,Vitae Residences,1 - 2 ,1 - 2 ,"548 - 1,030 ",4.9,"1702 N Ruddell St,
                Denton,
                
TX
76209",1,1,1,0,0,0,1,0,0,"823 - 1,251"
54,denton,Residences at The Union,Studio - 2 ,1 ,400 - 850 ,4.0,"2211 W Hickory St,
                Denton,
                
TX
76201",1,0,0,0,0,0,0,0,0,Call for Rent
55,denton,Coronado Villas,1 - 2 ,1 - 2 ,"625 - 1,350 ",4.0,"113 Coronado Dr,
                Denton,
                
TX
76209",0,1,1,0,0,1,0,0,0,"720 - 1,700"
56,denton,The Quarter,1 - 2 ,1 ,413 - 710 ,4.0,"1003 Eagle Dr,
                Denton,
                
TX
76201",1,1,1,0,0,0,0,0,0,655 - 969
57,denton,Starlite,2 ,1.5 ,433 - 575 ,3.0,"425 Fulton St,
                Denton,
                
TX
76201",1,1,1,0,0,0,0,0,0,625 - 705
58,denton,University Place,2 ,2 ,776 ,3.7,"911 Bernard St,
                Denton,
                
TX
76201",1,0,1,0,0,0,0,0,0,545 - 750
59,denton,Country Park Apartment Homes,1 - 3 ,1 - 2 ,"700 - 1,075 ",3.9,"1606 E McKinney St,
                Denton,
                
TX
76209",1,1,1,0,1,1,1,0,1,"931 - 1,264"
60,denton,1717 N Locust St,2 ,1 ,800 ,?,"1717 N Locust St,
                Denton,
                
TX
76201",0,0,0,0,0,0,0,1,0,"1,399"
61,denton,"CDI Crow, LLC",2 - 4 ,2 - 4.5 ,"850 - 1,200 ",2.1,"1831-1849 Crow St,
                Denton,
                
TX
76201",1,0,0,0,0,0,1,0,0,"2,800"
62,denton,Hunter's Creek Apartments,1 - 3 ,1 - 2 ,"750 - 1,363 ",?,"2250 Hunter's Creek Rd,
                Denton,
                
TX
76210",1,1,1,0,0,0,0,1,1,"1,495 - 2,770"
63,denton,Park Place,2 ,1.5 ,886 ,?,"2001 W Hickory St,
                Denton,
                
TX
76201",1,0,0,0,0,0,1,0,0,"1,250"
64,denton,Millennium Place Apartments,1 - 2 ,1 - 2 ,"727 - 1,380 ",4.0,"6651 I35E,
                Denton,
                
TX
76208",1,1,1,0,1,1,1,1,1,"1,449 - 2,034"
65,denton,Struga Place,2 ,1 ,954 ,?,"206 Sawyer Ave,
                Denton,
                
TX
76201",0,0,0,0,0,0,0,0,0,"1,095"
66,denton,Vineyard Apartments,1 - 2 ,1 ,600 - 935 ,?,"902 Vine St,
                Denton,
                
TX
76209",1,0,0,0,0,0,1,0,0,"900 - 1,150"
67,denton,Holly Hills,1 - 3 ,1 - 2.5 ,"697 - 1,432 ",4.2,"900 Londonderry Ln,
                Denton,
                
TX
76205",1,1,1,0,0,1,0,0,0,"1,155 - 1,975"
68,denton,404 Industrial Park,1 - 2 ,1 - 2.5 ,"600 - 1,564 ",?,"404 Industrial St,
                Denton,
                
TX
76201",1,0,0,1,0,1,1,0,0,"1,145 - 1,795"
69,denton,Trinity Pines,1 - 2 ,1 - 2 ,503 - 991 ,3.1,"3815 Stuart Rd,
                Denton,
                
TX
76209",0,0,0,0,0,0,0,0,0,"1,200 - 1,295"
70,denton,Forest Ridge,2 - 3 ,1.5 - 2 ,"1,110 - 1,400 ",3.0,"1810 Westminster St,
                Denton,
                
TX
76205",1,1,1,0,0,1,0,0,0,"1,305 - 1,780"
71,denton,University LOFT Apartments,2 ,1 ,850 ,?,"2421 Louise St,
                Denton,
                
TX
76201",1,0,0,0,0,0,0,0,0,"1,100"
72,denton,Lone Star Apartments,1 - 2 ,1 - 2 ,464 - 850 ,4.0,"600 Texas St,
                Denton,
                
TX
76209",1,0,0,0,0,1,0,0,0,"900 - 1,150"
73,denton,Bent Tree Apartments,1 - 2 ,1 - 2 ,600 - 935 ,?,"1000 N Bell Ave,
                Denton,
                
TX
76209",0,0,0,0,0,1,1,0,0,"1,000 - 1,300"
74,denton,Cornerstone Apartments,1 - 2 ,1 - 2 ,580 - 927 ,1.0,"700 Hercules Ln,
                Denton,
                
TX
76209",1,0,0,0,0,0,0,0,0,"850 - 1,050"
75,denton,The Dominion Apartments,1 - 2 ,1 ,600 - 850 ,?,"923-929 W Sycamore St,
                Denton,
                
TX
76201",1,0,0,0,0,1,1,0,0,"900 - 1,100"
76,denton,The Crossing Apartments,1 ,1 ,500 - 570 ,?,"2413 Prairie St,
                Denton,
                
TX
76201",1,0,0,0,0,0,0,0,0,850 - 900
77,denton,Holly Tree,1 - 2 ,1 - 2 ,442 - 842 ,3.0,"2527 Louise St,
                Denton,
                
TX
76201",1,0,0,0,0,1,0,0,0,"850 - 1,050"
78,denton,The Loop,1 - 3 ,1 - 2 ,"700 - 1,100 ",2.8,"517 N Loop 288,
                Denton,
                
TX
76209",1,1,1,0,0,1,0,1,0,"1,050 - 1,650"
79,denton,Woodhill Apartments,1 - 2 ,1 - 2 ,"531 - 1,148 ",3.9,"1408 Teasley Ln,
                Denton,
                
TX
76205",1,1,1,0,1,1,1,0,0,"1,035 - 1,784"
80,denton,Waterford at Spencer Oaks,2 - 3 ,2 ,"976 - 1,100 ",4.0,"2100 Spencer Rd,
                Denton,
                
TX
76205",1,1,1,0,0,1,0,0,0,"1,092 - 1,450"
81,denton,Emerald Lane,1 - 2 ,1 ,630 - 792 ,3.9,"3401 Joyce Ln,
                Denton,
                
TX
76207",1,0,0,0,0,0,0,1,0,"1,050"
82,denton,Bonnie Green Apartments,1 - 2 ,1 ,625 - 850 ,3.9,"101-121 S Bonnie Brae St,
                Denton,
                
TX
76201",1,0,0,0,0,1,0,0,0,"850 - 1,100"
