,City,Names,Bed,Bath,Area,Rating,location,petsallowed,pool,fitnessCenter,gated,grill,closet,washerdryer,countertops,access,Rent
130,denton,1316 Margie St,?,?,?,?,"1316 Margie St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
131,denton,Oak Street Apartments,?,?,?,?,"1314 W Oak St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,?
132,denton,13 Underwood,?,?,?,?,"1328 Underwood St,  Denton, TX 76201",?,0,0,?,0,0,0,1,0,?
133,denton,315 Fry St,?,?,?,?,"315 Fry St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
134,denton,3716 N Elm St,?,?,?,?,"3716 N Elm St,  Denton, TX 76207",?,?,?,?,?,?,?,?,?,?
135,denton,1118 W Collins St,?,?,?,?,"1118 W Collins St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
136,denton,425 Ponder St,?,?,?,?,"425 Ponder St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
137,denton,724 S Welch St,?,?,?,?,"724 S Welch St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
138,denton,510 Fulton St,?,?,?,?,"510 Fulton St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
139,denton,913 Kilkenny Ct,?,?,?,?,"913 Kilkenny Ct,  Denton, TX 76210",?,0,0,?,0,0,0,0,0,?
140,denton,404-414 Fulton St,?,?,?,?,"404-414 Fulton St,  Denton, TX 76201",?,0,0,?,0,0,0,1,0,?
141,denton,Willowwood Apartments,?,?,?,?,"920 Willow Wood Dr,  Denton, TX 76205",?,0,0,?,0,0,0,0,0,?
142,denton,Hickory Village,?,?,?,?,"929 W Hickory St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
143,denton,Eagle's Crossing,?,?,?,?,"924 Chestnut St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,?
144,denton,Chestnut Apartments,?,?,?,?,"925 W Chestnut St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,?
145,denton,2800-2814 Country Club Rd,?,?,?,?,"2800-2814 Country Club Rd,  Denton, TX 76210",?,?,?,?,?,?,?,?,?,?
146,denton,Willowwood Student Housing,?,?,?,?,"900 Willowwood St,  Denton, TX 76205",?,0,1,?,0,0,0,0,0,?
147,denton,Bernard St. Duplexes,?,?,?,?,"2406-2416 Bernard St,  Denton, TX 76205",?,0,0,?,0,0,0,0,0,?
148,denton,900 Fannin St,?,?,?,?,"900 Fannin St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
149,denton,Bernard Village,?,?,?,?,"1201 Bernard St,  Denton, TX 76201",?,0,0,?,0,0,1,0,0,?
150,denton,1121 Bernard St,?,?,?,?,"1121 Bernard St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
151,denton,707 W Hickory St,?,?,?,?,"707 W Hickory St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,?
152,denton,Iris Garden,1-2 ,?,400-800 ,?,"1128 Frame St,  Denton, TX 76209",?,0,0,?,0,0,0,0,0,"805-1,050"
153,denton,618 W Sycamore St,?,?,?,?,"618 W Sycamore St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
154,denton,510 Fort Worth Dr,?,?,?,?,"510 Fort Worth Dr,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
155,denton,Casie Court,?,?,?,?,"300-437 Casie Ct,  Denton, TX 76207",?,0,0,?,0,0,0,0,0,?
156,denton,418 W Congress St,?,?,?,?,"418 W Congress St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
157,denton,301 Casie,?,?,?,?,"301 Casie,  Denton, TX 76207",?,?,?,?,?,?,?,?,?,?
158,denton,303-309 W Hickory St,?,?,?,?,"303-309 W Hickory St,  Denton, TX 76201",?,0,0,?,0,0,1,0,0,?
159,denton,516 Bolivar St,?,?,?,?,"516 Bolivar St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,?
160,denton,610 W Sycamore St,?,?,?,?,"610 W Sycamore St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
161,denton,Barry Place,?,?,?,?,"505 Eagle Dr,  Denton, TX 76201",0,0,0,?,0,0,0,1,0,?
162,denton,2021 Willowwood St,?,?,?,?,"2021 Willowwood St,  Denton, TX 76205",?,?,?,?,?,?,?,?,?,?
163,denton,Santa Fe Square Hall,?,?,?,?,"2201 W Prairie St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
164,denton,2013 Willowwood St,?,?,?,?,"2013 Willowwood St,  Denton, TX 76205",?,?,?,?,?,?,?,?,?,?
165,denton,2017 Willowwood St,?,?,?,?,"2017 Willowwood St,  Denton, TX 76205",?,?,?,?,?,?,?,?,?,?
166,denton,2208 W HIckory St,?,?,?,?,"2208 W HIckory St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,?
167,denton,2206 W Hickory St,?,?,?,?,"2206 W Hickory St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,?
168,denton,Eagles Landing,?,?,?,?,"218 N Texas Blvd,  Denton, TX 76201",?,1,0,?,0,0,0,0,0,?
169,denton,2221-2225 Stella St,?,?,?,?,"2221-2225 Stella St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
170,denton,2202-2212 Stella St,?,?,?,?,"2202-2212 Stella St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
171,denton,228 Avenue F,?,?,?,?,"228 Avenue F,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
172,denton,Emerald Hall,?,?,?,?,"224-226 Avenue F,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,?
173,denton,2405 W Prairie St,?,?,?,?,"2405 W Prairie St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,?
174,denton,2405 Louise St,?,?,?,?,"2405 Louise St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
175,denton,2401 W Prairie St,?,?,?,?,"2401 W Prairie St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,?
176,denton,2223 W Prairie St,?,?,?,?,"2223 W Prairie St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
177,denton,2210 Hickory St,?,?,?,?,"2210 Hickory St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,?
178,denton,Oak Glen,?,?,?,?,"214 Texas Blvd,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
179,denton,1800-1804 Scripture St,?,?,?,?,"1800-1804 Scripture St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,?
180,denton,1712 W Hickory St,?,?,?,?,"1712 W Hickory St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
